epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0639,3.86472,4.47056,3.92585,0.31728,0.00909,0.03635,0.0057,0.00119,3.5996,4.07121,3.56121,0.18521,0.000662309,0.000662309,0.000662309
2,47.1506,3.21055,3.80646,3.24835,0.15285,0.05737,0.03891,0.01246,0.00334,3.61235,3.8829,3.85101,0.13105,0.00132894,0.00132894,0.00132894
3,69.3695,2.87276,3.29138,3.07254,0.11888,0.0597,0.13606,0.02798,0.00591,3.12957,3.22718,3.0667,0.12426,0.00199543,0.00199543,0.00199543
4,91.3513,2.68709,2.9381,2.97991,0.09966,0.16082,0.1915,0.07984,0.0187,2.67539,3.30487,2.86538,0.06221,0.00199951,0.00199951,0.00199951
5,113.002,2.57626,2.70509,2.85191,0.09269,0.30761,0.22632,0.16609,0.05198,2.49458,2.60731,2.7487,0.06632,0.00199913,0.00199913,0.00199913
6,135.013,2.46751,2.5893,2.77683,0.07897,0.24636,0.2797,0.153,0.04725,2.33143,2.41677,2.6073,0.0519,0.00199864,0.00199864,0.00199864
7,156.79,2.3787,2.46851,2.74705,0.08089,0.28946,0.319,0.20401,0.06887,2.22524,2.35699,2.56867,0.04501,0.00199805,0.00199805,0.00199805
8,178.631,2.32075,2.36618,2.71317,0.08185,0.34382,0.31848,0.24465,0.09015,2.22223,2.2584,2.58177,0.05128,0.00199734,0.00199734,0.00199734
9,200.771,2.23693,2.29655,2.67344,0.07519,0.34657,0.34869,0.25721,0.09552,2.15894,2.2359,2.57362,0.04449,0.00199653,0.00199653,0.00199653
10,222.252,2.16139,2.22063,2.62967,0.06961,0.37861,0.38454,0.32282,0.12927,2.06611,2.08604,2.5032,0.03978,0.00199561,0.00199561,0.00199561
11,243.563,2.1185,2.13181,2.6004,0.06234,0.40198,0.3702,0.3182,0.13367,2.04703,2.07986,2.48729,0.03921,0.00199458,0.00199458,0.00199458
12,265.177,2.07815,2.14397,2.56421,0.06341,0.49774,0.37686,0.38094,0.17157,1.90306,1.98863,2.4196,0.03273,0.00199344,0.00199344,0.00199344
13,286.58,2.01097,2.04791,2.5514,0.0623,0.39132,0.39171,0.31924,0.13723,1.92441,2.02361,2.41636,0.03292,0.00199219,0.00199219,0.00199219
14,308.182,1.97159,2.0153,2.48312,0.0577,0.43131,0.37686,0.33487,0.14977,1.89963,2.08028,2.41474,0.03271,0.00199084,0.00199084,0.00199084
15,329.533,1.92446,1.95381,2.47857,0.05583,0.57247,0.36969,0.42417,0.21453,1.835,1.91038,2.3683,0.03279,0.00198938,0.00198938,0.00198938
16,351.259,1.87338,1.91883,2.44184,0.05464,0.48114,0.43398,0.41004,0.19403,1.87111,1.9578,2.4045,0.02913,0.00198781,0.00198781,0.00198781
17,372.818,1.85137,1.88793,2.42923,0.05731,0.51446,0.4342,0.45071,0.22888,1.743,1.81985,2.30345,0.03025,0.00198614,0.00198614,0.00198614
18,394.363,1.78898,1.80404,2.40039,0.05336,0.53568,0.46032,0.4635,0.24613,1.70049,1.80273,2.2983,0.02638,0.00198435,0.00198435,0.00198435
19,415.903,1.78051,1.82911,2.38667,0.05507,0.5634,0.45393,0.48602,0.25274,1.6775,1.73989,2.25124,0.02726,0.00198246,0.00198246,0.00198246
20,437.477,1.73942,1.77572,2.35674,0.05239,0.56726,0.4552,0.49534,0.27059,1.68286,1.711,2.26822,0.02791,0.00198047,0.00198047,0.00198047
21,459.422,1.74424,1.76578,2.36198,0.05425,0.51649,0.50077,0.47471,0.2476,1.6289,1.78712,2.21008,0.02738,0.00197837,0.00197837,0.00197837
22,480.683,1.71085,1.71794,2.32418,0.05214,0.56239,0.4895,0.50499,0.2845,1.59806,1.7233,2.19168,0.0244,0.00197616,0.00197616,0.00197616
23,502.214,1.70893,1.68084,2.32206,0.05398,0.50026,0.48182,0.44007,0.2377,1.65448,1.9392,2.21901,0.02716,0.00197384,0.00197384,0.00197384
24,523.826,1.65504,1.65014,2.29741,0.05103,0.59845,0.46902,0.50791,0.29159,1.59717,1.74592,2.17452,0.02687,0.00197142,0.00197142,0.00197142
25,545.391,1.61456,1.60406,2.22475,0.04645,0.61633,0.53465,0.57668,0.32959,1.57825,1.62887,2.17359,0.02391,0.0019689,0.0019689,0.0019689
26,566.999,1.62589,1.58658,2.22323,0.04983,0.61818,0.50435,0.54589,0.30026,1.61537,1.60221,2.17016,0.02533,0.00196627,0.00196627,0.00196627
27,588.523,1.58022,1.56448,2.18678,0.04468,0.65768,0.54941,0.6051,0.36801,1.45881,1.53957,2.06165,0.02173,0.00196353,0.00196353,0.00196353
28,610.099,1.53988,1.54081,2.17065,0.04664,0.68054,0.53968,0.60783,0.36996,1.495,1.52719,2.06762,0.02562,0.00196069,0.00196069,0.00196069
29,631.337,1.51677,1.47112,2.12995,0.04783,0.66993,0.54071,0.60292,0.36489,1.48615,1.49743,2.04901,0.02538,0.00195775,0.00195775,0.00195775
30,652.821,1.47273,1.43782,2.07647,0.04186,0.69524,0.56302,0.63418,0.38614,1.44079,1.53383,1.96759,0.02469,0.0019547,0.0019547,0.0019547
31,674.457,1.47108,1.4531,2.0706,0.04589,0.71919,0.54816,0.63741,0.39545,1.45224,1.41844,1.99253,0.02697,0.00195155,0.00195155,0.00195155
32,695.959,1.47338,1.42561,2.06292,0.0453,0.73626,0.56175,0.66459,0.4208,1.40684,1.35424,1.95957,0.02217,0.00194829,0.00194829,0.00194829
33,717.203,1.44557,1.37871,2.01818,0.04689,0.72072,0.54838,0.63869,0.40281,1.36406,1.48446,1.9252,0.02057,0.00194493,0.00194493,0.00194493
34,738.583,1.39561,1.35876,1.99188,0.04006,0.7014,0.60136,0.67786,0.42934,1.36566,1.30896,1.90485,0.0227,0.00194147,0.00194147,0.00194147
35,760.104,1.43305,1.37957,2.0133,0.04267,0.6731,0.56616,0.63395,0.39302,1.3917,1.38537,1.94477,0.02123,0.00193791,0.00193791,0.00193791
36,781.364,1.41352,1.32739,1.99446,0.0426,0.76057,0.59089,0.6932,0.44932,1.31183,1.31636,1.85698,0.02085,0.00193424,0.00193424,0.00193424
37,802.93,1.38598,1.33227,1.94716,0.04129,0.72848,0.56463,0.65652,0.42005,1.35614,1.33544,1.8956,0.0222,0.00193048,0.00193048,0.00193048
38,824.387,1.35348,1.30494,1.95454,0.03953,0.73134,0.5868,0.66921,0.42852,1.37188,1.32148,1.91782,0.02151,0.00192661,0.00192661,0.00192661
39,846.184,1.40005,1.3503,1.93128,0.04569,0.74239,0.57296,0.66728,0.42169,1.38287,1.33727,1.88272,0.02589,0.00192264,0.00192264,0.00192264
40,867.532,1.32482,1.26543,1.86605,0.04017,0.73034,0.59191,0.68768,0.44793,1.30509,1.27161,1.90381,0.01991,0.00191858,0.00191858,0.00191858
41,889.236,1.33222,1.2384,1.93753,0.03897,0.74988,0.61905,0.7096,0.46544,1.29972,1.20848,1.85045,0.01909,0.00191441,0.00191441,0.00191441
42,910.938,1.33224,1.25408,1.88549,0.03876,0.7589,0.56528,0.66893,0.43421,1.29919,1.29806,1.85585,0.01934,0.00191014,0.00191014,0.00191014
43,932.392,1.3183,1.26942,1.86956,0.04094,0.69624,0.57977,0.6449,0.42426,1.29735,1.34776,1.83904,0.02094,0.00190578,0.00190578,0.00190578
44,953.833,1.29929,1.21672,1.85107,0.04081,0.77477,0.60983,0.70779,0.46831,1.24561,1.22836,1.75034,0.01901,0.00190132,0.00190132,0.00190132
45,975.42,1.25299,1.20719,1.81758,0.03554,0.80405,0.5904,0.71452,0.47247,1.28213,1.22321,1.77914,0.02014,0.00189675,0.00189675,0.00189675
46,997.099,1.27264,1.19954,1.7888,0.0391,0.78448,0.61802,0.7261,0.47906,1.28935,1.23202,1.75774,0.02109,0.0018921,0.0018921,0.0018921
47,1018.55,1.23309,1.1214,1.74026,0.03346,0.81099,0.62468,0.73217,0.47662,1.2769,1.15046,1.73231,0.02014,0.00188734,0.00188734,0.00188734
48,1040.01,1.26139,1.14784,1.76098,0.03557,0.80765,0.61956,0.73274,0.49661,1.22142,1.14676,1.72897,0.01822,0.00188249,0.00188249,0.00188249
49,1061.52,1.21298,1.10766,1.74843,0.03618,0.80861,0.62366,0.74195,0.49878,1.19929,1.12809,1.67377,0.01788,0.00187754,0.00187754,0.00187754
50,1082.96,1.20345,1.08762,1.75079,0.03485,0.7992,0.64601,0.74989,0.50564,1.21179,1.09284,1.68607,0.01749,0.0018725,0.0018725,0.0018725
51,1104.41,1.223,1.12589,1.72382,0.03751,0.8124,0.62528,0.73413,0.49197,1.21849,1.10195,1.72461,0.0176,0.00186737,0.00186737,0.00186737
52,1125.8,1.1978,1.10537,1.67888,0.03339,0.7928,0.62622,0.72872,0.4944,1.2048,1.12283,1.67959,0.02034,0.00186213,0.00186213,0.00186213
53,1147.28,1.18793,1.06922,1.71165,0.03463,0.77334,0.65387,0.74869,0.51026,1.17807,1.08466,1.65823,0.01797,0.00185681,0.00185681,0.00185681
54,1169.21,1.20599,1.09529,1.75775,0.03175,0.77965,0.63046,0.73227,0.48859,1.2185,1.14253,1.69035,0.01831,0.00185139,0.00185139,0.00185139
55,1191.71,1.18625,1.06794,1.70608,0.034,0.76278,0.65028,0.73829,0.50201,1.20239,1.11631,1.65032,0.01892,0.00184588,0.00184588,0.00184588
56,1213.99,1.19198,1.10452,1.68876,0.03501,0.78658,0.63185,0.73057,0.49008,1.21434,1.14661,1.66723,0.01972,0.00184028,0.00184028,0.00184028
57,1237.9,1.17626,1.10726,1.66767,0.03401,0.77335,0.6534,0.74438,0.51389,1.17013,1.10764,1.63648,0.01744,0.00183459,0.00183459,0.00183459
58,1260.83,1.15508,1.03956,1.66922,0.03173,0.79597,0.64465,0.74387,0.51371,1.15307,1.07085,1.61831,0.01797,0.00182881,0.00182881,0.00182881
59,1283.54,1.16261,1.03505,1.65823,0.03183,0.78414,0.64926,0.75092,0.5035,1.1985,1.08731,1.63803,0.01829,0.00182294,0.00182294,0.00182294
60,1305.97,1.15574,1.00748,1.64839,0.03496,0.80149,0.65534,0.76061,0.5244,1.13309,1.04637,1.5908,0.01637,0.00181698,0.00181698,0.00181698
61,1329.14,1.12425,0.98423,1.6026,0.0309,0.78171,0.66378,0.75456,0.51473,1.14513,1.0496,1.59574,0.0159,0.00181093,0.00181093,0.00181093
62,1351.6,1.12891,1.00172,1.61211,0.03554,0.81194,0.6467,0.75503,0.51989,1.12806,1.03898,1.58132,0.01632,0.00180479,0.00180479,0.00180479
63,1373.52,1.12589,1.00285,1.62005,0.0296,0.83178,0.64107,0.75858,0.52722,1.14041,1.04767,1.62748,0.0171,0.00179856,0.00179856,0.00179856
64,1394.04,1.13138,1.03615,1.63889,0.03144,0.80851,0.65899,0.76002,0.53018,1.12688,1.02104,1.5727,0.01752,0.00179225,0.00179225,0.00179225
65,1414.49,1.1119,0.98679,1.62192,0.02922,0.82449,0.62781,0.74381,0.50881,1.15003,1.06208,1.59781,0.01757,0.00178586,0.00178586,0.00178586
66,1434.81,1.15509,1.02465,1.6294,0.03348,0.82041,0.66411,0.77654,0.53933,1.11681,0.99406,1.5636,0.01583,0.00177937,0.00177937,0.00177937
67,1455.19,1.11346,0.98396,1.60236,0.03151,0.76377,0.6506,0.73187,0.51116,1.12985,1.14309,1.58728,0.01506,0.00177281,0.00177281,0.00177281
68,1476.24,1.10507,0.97999,1.57886,0.03132,0.82858,0.6509,0.76973,0.5391,1.10778,1.00965,1.55442,0.01697,0.00176616,0.00176616,0.00176616
69,1500.19,1.09455,0.95685,1.59,0.03006,0.80324,0.65284,0.75191,0.51804,1.13087,1.04566,1.55204,0.01577,0.00175943,0.00175943,0.00175943
70,1524.55,1.08822,0.94801,1.56865,0.0275,0.80735,0.65643,0.7606,0.52454,1.13519,1.03074,1.56695,0.01589,0.00175261,0.00175261,0.00175261
71,1548.65,1.09192,0.95875,1.56884,0.02969,0.80658,0.66206,0.75949,0.53044,1.11567,1.01244,1.57298,0.01635,0.00174571,0.00174571,0.00174571
72,1572.74,1.0991,0.96215,1.58945,0.03162,0.81414,0.6639,0.77395,0.53838,1.12253,0.99189,1.54655,0.01537,0.00173874,0.00173874,0.00173874
73,1595.77,1.07316,0.93091,1.54014,0.0335,0.84297,0.66411,0.78021,0.54234,1.10545,0.96844,1.52364,0.01574,0.00173168,0.00173168,0.00173168
74,1618.22,1.05475,0.92422,1.53416,0.03192,0.81303,0.68577,0.77583,0.54685,1.10395,0.9835,1.5222,0.01687,0.00172454,0.00172454,0.00172454
75,1639.95,1.07005,0.92144,1.5463,0.02623,0.7924,0.68015,0.75855,0.53083,1.10435,1.01019,1.55662,0.01493,0.00171733,0.00171733,0.00171733
76,1661.86,1.07292,0.90835,1.54543,0.02948,0.82963,0.65335,0.76631,0.53724,1.1084,0.99596,1.53641,0.01433,0.00171004,0.00171004,0.00171004
77,1684.6,1.08313,0.92985,1.56288,0.03094,0.83903,0.66513,0.7759,0.54574,1.08743,0.97568,1.52222,0.01453,0.00170267,0.00170267,0.00170267
78,1707.6,1.05578,0.91571,1.52914,0.02838,0.84394,0.66001,0.77109,0.53749,1.09365,1.00854,1.5299,0.01536,0.00169522,0.00169522,0.00169522
79,1730.09,1.01738,0.86556,1.49435,0.0259,0.83856,0.66923,0.78961,0.56167,1.08407,0.94101,1.51422,0.01521,0.0016877,0.0016877,0.0016877
80,1752.66,1.03222,0.87849,1.51799,0.02801,0.8027,0.66513,0.75991,0.52827,1.09847,0.99729,1.51387,0.01363,0.00168011,0.00168011,0.00168011
81,1775.43,1.05551,0.89011,1.52351,0.02869,0.83898,0.65643,0.7832,0.55071,1.08329,0.97123,1.50921,0.01508,0.00167244,0.00167244,0.00167244
82,1798.04,1.06128,0.9019,1.52005,0.02965,0.83487,0.6731,0.78916,0.56067,1.08018,0.94391,1.51171,0.01495,0.0016647,0.0016647,0.0016647
83,1821.19,1.05912,0.90538,1.5164,0.0279,0.83707,0.67609,0.78479,0.55385,1.09613,0.95252,1.51924,0.01425,0.00165689,0.00165689,0.00165689
84,1843.74,1.05035,0.88917,1.49456,0.02862,0.81456,0.68664,0.78557,0.55863,1.07978,0.95373,1.50512,0.0139,0.001649,0.001649,0.001649
