epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0078,1.49754,2.207,2.96549,0.01864,0.70864,0.73169,0.77077,0.45347,1.44939,1.22976,2.36245,0.01503,0.000664481,0.000664481,0.000664481
2,85.5719,1.46832,1.36476,2.16066,0.02326,0.73078,0.65489,0.73041,0.42466,1.53162,1.3484,2.0349,0.02876,0.00133113,0.00133113,0.00133113
3,126.503,1.43765,1.30275,1.94433,0.0267,0.73083,0.69095,0.75285,0.42863,1.42348,1.38611,1.9116,0.01806,0.00199774,0.00199774,0.00199774
4,167.662,1.43157,1.2994,1.86214,0.02486,0.77327,0.64875,0.74995,0.44225,1.36119,1.34134,1.78887,0.01772,0.00199982,0.00199982,0.00199982
5,208.374,1.35957,1.21613,1.72535,0.02419,0.76297,0.74552,0.77793,0.4921,1.27159,1.11583,1.67233,0.0167,0.00199969,0.00199969,0.00199969
6,249.271,1.27288,1.0846,1.6721,0.02237,0.79026,0.71767,0.77696,0.49969,1.25322,1.20039,1.66755,0.01467,0.00199951,0.00199951,0.00199951
7,290.313,1.23121,1.06741,1.59526,0.01966,0.81916,0.73526,0.826,0.5617,1.2112,1.04442,1.54697,0.01491,0.0019993,0.0019993,0.0019993
8,331.26,1.16579,1.03062,1.5513,0.01782,0.80822,0.73584,0.8258,0.55811,1.17902,1.02387,1.56075,0.01383,0.00199904,0.00199904,0.00199904
9,372.376,1.1336,0.96211,1.49221,0.01855,0.82795,0.67516,0.80019,0.51663,1.26827,1.07279,1.65172,0.01668,0.00199875,0.00199875,0.00199875
10,413.174,1.16731,0.98678,1.5632,0.02184,0.80494,0.65489,0.77514,0.49993,1.32208,1.18609,1.64206,0.02081,0.00199842,0.00199842,0.00199842
11,453.596,1.16367,0.94805,1.53433,0.02012,0.83741,0.71736,0.81639,0.5483,1.17353,1.07429,1.52081,0.01453,0.00199805,0.00199805,0.00199805
12,494.43,1.0814,0.91965,1.47093,0.01688,0.84386,0.72248,0.83819,0.57749,1.1177,0.97306,1.47958,0.01298,0.00199764,0.00199764,0.00199764
13,535.173,1.0989,0.85834,1.43338,0.01925,0.85275,0.75613,0.8451,0.57722,1.08413,0.91131,1.42283,0.01295,0.00199719,0.00199719,0.00199719
14,575.565,1.0485,0.83935,1.39266,0.01659,0.82792,0.74154,0.82475,0.57445,1.09164,0.95867,1.46611,0.012,0.0019967,0.0019967,0.0019967
