epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2167,1.3988,2.41195,2.92089,0.02236,0.7327,0.66718,0.74403,0.36956,1.45676,1.35224,2.36022,0.01404,0.000662309,0.000662309,0.000662309
2,48.4557,1.31895,1.30858,2.16673,0.02247,0.76141,0.75576,0.80292,0.49028,1.28764,1.10789,2.05352,0.01122,0.00132892,0.00132892,0.00132892
3,70.4232,1.2909,1.15755,2.03792,0.02385,0.78383,0.75525,0.83173,0.51665,1.25683,1.01121,2.01367,0.01584,0.00199533,0.00199533,0.00199533
4,92.3403,1.30961,1.13529,2.0316,0.02879,0.8098,0.72812,0.80937,0.50076,1.31495,1.06735,1.94755,0.0175,0.0019993,0.0019993,0.0019993
5,113.761,1.28108,1.05866,1.94183,0.0267,0.80028,0.73528,0.7862,0.50157,1.19792,1.0968,1.89896,0.01453,0.00199875,0.00199875,0.00199875
6,135.008,1.21653,1.0128,1.88235,0.02347,0.81691,0.78085,0.84872,0.53983,1.19014,0.9796,1.90808,0.01305,0.00199805,0.00199805,0.00199805
7,156.242,1.19921,0.96602,1.8274,0.02369,0.86216,0.77182,0.86087,0.573,1.15572,0.94329,1.85482,0.01249,0.00199719,0.00199719,0.00199719
8,177.655,1.16495,0.95873,1.82964,0.02447,0.85266,0.78802,0.87576,0.58725,1.12525,0.87732,1.78392,0.01123,0.00199617,0.00199617,0.00199617
9,198.893,1.17261,0.93644,1.79246,0.02388,0.8532,0.78341,0.85377,0.56342,1.1649,0.90244,1.76706,0.01256,0.001995,0.001995,0.001995
10,220.141,1.15002,0.88193,1.76385,0.02405,0.85868,0.78712,0.86,0.59291,1.07884,0.87499,1.76749,0.01167,0.00199368,0.00199368,0.00199368
11,241.177,1.09332,0.85896,1.67953,0.02094,0.84056,0.80171,0.86243,0.58007,1.10082,0.86458,1.62698,0.01353,0.00199219,0.00199219,0.00199219
12,262.278,1.11707,0.87651,1.66462,0.02512,0.8482,0.7916,0.86857,0.58802,1.11353,0.84914,1.64551,0.01285,0.00199056,0.00199056,0.00199056
13,283.499,1.08924,0.86573,1.70987,0.0243,0.87351,0.78187,0.86794,0.61213,1.05732,0.8671,1.68006,0.01118,0.00198877,0.00198877,0.00198877
14,304.688,1.0552,0.81552,1.53065,0.02015,0.85725,0.77112,0.86167,0.59542,1.08868,0.88852,1.61157,0.01187,0.00198682,0.00198682,0.00198682
15,325.907,1.05155,0.80802,1.50295,0.02106,0.88177,0.78546,0.87557,0.62348,1.03567,0.81413,1.52101,0.0114,0.00198472,0.00198472,0.00198472
16,347.313,1.02866,0.79327,1.50479,0.0209,0.84482,0.80281,0.87385,0.61883,1.0505,0.82924,1.50258,0.0128,0.00198246,0.00198246,0.00198246
17,369.106,1.04059,0.81125,1.49624,0.02201,0.88696,0.79467,0.87996,0.62773,1.01464,0.80211,1.49975,0.01089,0.00198006,0.00198006,0.00198006
18,390.986,1.01028,0.75649,1.4648,0.02148,0.86845,0.80338,0.88756,0.62924,1.00149,0.788,1.46037,0.01148,0.0019775,0.0019775,0.0019775
19,412.546,1.00099,0.76963,1.46444,0.01929,0.8406,0.81516,0.87353,0.62194,0.97244,0.81666,1.46692,0.01028,0.00197478,0.00197478,0.00197478
20,434.159,0.99443,0.7751,1.43523,0.02237,0.88206,0.8044,0.89127,0.64197,1.01357,0.78045,1.434,0.01174,0.00197192,0.00197192,0.00197192
21,456.155,0.98611,0.75025,1.40342,0.01969,0.86591,0.80022,0.88207,0.6228,1.00459,0.81154,1.45862,0.01149,0.0019689,0.0019689,0.0019689
22,476.775,0.97886,0.74834,1.45965,0.02028,0.88455,0.80814,0.89224,0.64063,0.99286,0.77122,1.42879,0.01106,0.00196573,0.00196573,0.00196573
23,499.007,0.996,0.72018,1.37342,0.02627,0.88083,0.79928,0.88177,0.63415,1.00227,0.80915,1.36759,0.01035,0.00196241,0.00196241,0.00196241
24,521.123,0.98173,0.72592,1.35203,0.02294,0.83438,0.8213,0.87679,0.62523,0.9936,0.8344,1.34245,0.00977,0.00195894,0.00195894,0.00195894
25,543.12,0.93411,0.69644,1.31199,0.02049,0.89491,0.82335,0.89127,0.64925,0.96874,0.73904,1.33212,0.01115,0.00195532,0.00195532,0.00195532
26,564.953,0.93131,0.69097,1.29535,0.01856,0.90114,0.79341,0.89602,0.63837,1.00757,0.76091,1.35894,0.01249,0.00195155,0.00195155,0.00195155
27,586.994,0.94615,0.69629,1.30977,0.01749,0.87887,0.8173,0.89051,0.64771,0.95686,0.75435,1.3047,0.01051,0.00194763,0.00194763,0.00194763
28,609.119,0.93841,0.67491,1.31092,0.01926,0.89446,0.80714,0.8924,0.66,0.94891,0.75307,1.33833,0.00933,0.00194356,0.00194356,0.00194356
29,630.999,0.90071,0.66415,1.29187,0.01754,0.90376,0.80776,0.90025,0.66623,0.92848,0.72933,1.31504,0.00967,0.00193935,0.00193935,0.00193935
30,653.097,0.88324,0.65404,1.25907,0.01677,0.86794,0.83154,0.89585,0.6673,0.93444,0.731,1.31515,0.00983,0.00193499,0.00193499,0.00193499
31,675.306,0.88974,0.67356,1.27963,0.01902,0.91674,0.79877,0.89548,0.66274,0.95387,0.73516,1.28762,0.00978,0.00193048,0.00193048,0.00193048
32,697.488,0.88116,0.65766,1.25814,0.01669,0.88514,0.82862,0.89363,0.66005,0.93344,0.73889,1.29916,0.00964,0.00192583,0.00192583,0.00192583
33,719.567,0.88329,0.63882,1.26488,0.01878,0.90538,0.78394,0.88363,0.65205,0.9496,0.74851,1.29201,0.01161,0.00192103,0.00192103,0.00192103
34,741.593,0.89014,0.648,1.26164,0.01523,0.8832,0.81567,0.89202,0.66907,0.93862,0.72597,1.29919,0.00953,0.00191609,0.00191609,0.00191609
35,763.763,0.85299,0.61323,1.24803,0.01504,0.91078,0.805,0.89586,0.67048,0.92955,0.7163,1.30868,0.01057,0.001911,0.001911,0.001911
36,786.224,0.85169,0.62946,1.2619,0.01702,0.89485,0.82898,0.90794,0.6907,0.88258,0.66795,1.28042,0.00865,0.00190578,0.00190578,0.00190578
37,808.662,0.84307,0.61787,1.25048,0.01495,0.90327,0.81772,0.90151,0.67743,0.91546,0.70515,1.30244,0.00864,0.00190041,0.00190041,0.00190041
38,830.766,0.85268,0.61589,1.25468,0.0148,0.88859,0.83052,0.8956,0.6736,0.94128,0.71545,1.31461,0.01002,0.0018949,0.0018949,0.0018949
39,853.152,0.85464,0.60055,1.24938,0.01704,0.88911,0.82796,0.90202,0.68158,0.93218,0.70118,1.33639,0.00884,0.00188926,0.00188926,0.00188926
40,875.332,0.84778,0.59887,1.2164,0.0161,0.92305,0.78853,0.8958,0.67498,0.94944,0.74356,1.29921,0.00967,0.00188347,0.00188347,0.00188347
41,897.507,0.83839,0.58982,1.23139,0.01331,0.90664,0.80552,0.89567,0.68215,0.8963,0.71021,1.29099,0.00842,0.00187754,0.00187754,0.00187754
42,919.079,0.84984,0.60669,1.23581,0.0155,0.88807,0.82437,0.89344,0.668,0.90855,0.70921,1.29149,0.00861,0.00187148,0.00187148,0.00187148
43,941.204,0.82726,0.59717,1.21413,0.0158,0.88592,0.82744,0.89555,0.6683,0.91438,0.70375,1.27681,0.00948,0.00186528,0.00186528,0.00186528
