epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8601,1.39688,1.83843,2.55822,0.0161,0.76884,0.68848,0.77838,0.46939,1.42254,1.32972,2.12011,0.01843,0.000665533,0.000665533,0.000665533
2,144.142,1.39391,1.29192,1.89087,0.02071,0.7899,0.71302,0.78949,0.48499,1.34556,1.19498,1.79114,0.01692,0.00133219,0.00133219,0.00133219
3,212.682,1.36092,1.22913,1.7804,0.01996,0.78973,0.6631,0.77552,0.49818,1.30672,1.18807,1.7001,0.01472,0.00199879,0.00199879,0.00199879
4,280.974,1.33597,1.20844,1.68769,0.02131,0.77106,0.6987,0.78481,0.4883,1.32802,1.24404,1.72233,0.01523,0.00199982,0.00199982,0.00199982
5,349.258,1.28056,1.14378,1.6465,0.0196,0.78742,0.7471,0.82865,0.54706,1.21168,1.08601,1.57223,0.01272,0.00199969,0.00199969,0.00199969
6,417.829,1.20122,1.05178,1.56187,0.01856,0.80463,0.73756,0.80649,0.53366,1.16417,1.07422,1.53929,0.01184,0.00199951,0.00199951,0.00199951
7,485.987,1.19377,1.00259,1.52509,0.01817,0.81198,0.72802,0.81753,0.55544,1.18566,1.14777,1.56114,0.0119,0.0019993,0.0019993,0.0019993
8,554.211,1.14041,0.95852,1.50313,0.01775,0.81519,0.7696,0.85114,0.58138,1.17171,1.01629,1.53892,0.01439,0.00199904,0.00199904,0.00199904
9,622.668,1.14065,0.95609,1.44981,0.01703,0.84821,0.71915,0.83404,0.56985,1.14638,1.02728,1.47149,0.01228,0.00199875,0.00199875,0.00199875
10,691.341,1.12726,0.94063,1.44159,0.01715,0.86255,0.76142,0.86,0.58006,1.12919,0.95883,1.44147,0.01238,0.00199842,0.00199842,0.00199842
11,764.577,1.07902,0.88313,1.40759,0.0155,0.85925,0.78732,0.87376,0.61136,1.09347,0.96428,1.46914,0.01131,0.00199805,0.00199805,0.00199805
12,838.299,1.08063,0.886,1.39977,0.01706,0.85267,0.76755,0.85991,0.58806,1.11844,0.9341,1.41951,0.01099,0.00199764,0.00199764,0.00199764
13,911.441,1.03748,0.82653,1.35495,0.01507,0.89157,0.79028,0.88679,0.62546,1.06577,0.8648,1.39156,0.01234,0.00199719,0.00199719,0.00199719
14,985.197,1.01239,0.79069,1.33499,0.01445,0.83149,0.81399,0.87883,0.6276,1.04348,0.89031,1.37086,0.01146,0.0019967,0.0019967,0.0019967
15,1058.9,0.9933,0.74844,1.31554,0.01306,0.87263,0.77988,0.87626,0.61836,1.08846,0.90387,1.36546,0.01124,0.00199617,0.00199617,0.00199617
