epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0636,3.8736,4.163,4.00267,0.35837,0,0,0,0,4.36329,4.22473,4.29257,0.37629,0.000658009,0.000658009,0.000658009
2,27.8821,3.32433,3.89976,3.3891,0.20619,0.01639,0.16334,0.01423,0.0035,3.73993,3.47456,3.76408,0.22993,0.00131593,0.00131593,0.00131593
3,41.192,2.88549,3.42147,3.10175,0.13468,0.01663,0.05223,0.01184,0.00319,3.42617,4.16258,3.58381,0.14485,0.00196506,0.00196506,0.00196506
4,54.2937,2.71244,3.06745,2.94152,0.10964,0.02543,0.06759,0.01123,0.00272,3.01536,3.87717,3.03041,0.10793,0.0019604,0.0019604,0.0019604
5,67.8056,2.5658,2.82926,2.82726,0.10052,0.14913,0.20174,0.07706,0.02024,2.45379,3.01984,2.67751,0.06157,0.0019472,0.0019472,0.0019472
6,81.8627,2.44457,2.65803,2.75328,0.09364,0.26303,0.26933,0.17254,0.05684,2.28593,2.60444,2.59156,0.05229,0.001934,0.001934,0.001934
7,96.1265,2.36718,2.55361,2.69619,0.08624,0.31063,0.28632,0.20805,0.07775,2.19044,2.57267,2.54515,0.05182,0.0019208,0.0019208,0.0019208
8,109.072,2.22341,2.4467,2.64463,0.08275,0.40487,0.29903,0.25887,0.10217,2.13511,2.34321,2.52377,0.04642,0.0019076,0.0019076,0.0019076
9,122.734,2.16003,2.32961,2.58991,0.0759,0.39755,0.35689,0.28021,0.11443,2.03698,2.22773,2.49314,0.03712,0.0018944,0.0018944,0.0018944
10,135.563,2.10807,2.20127,2.56987,0.07893,0.40954,0.38863,0.32953,0.13667,1.9891,2.15233,2.43391,0.03988,0.0018812,0.0018812,0.0018812
11,148.21,2.03614,2.19597,2.50588,0.06949,0.41001,0.39222,0.3301,0.14192,1.89687,2.14207,2.38013,0.03569,0.001868,0.001868,0.001868
12,160.973,1.96873,2.10987,2.49532,0.06563,0.45217,0.40276,0.37478,0.1689,1.86696,2.04345,2.39957,0.03208,0.0018548,0.0018548,0.0018548
13,173.383,1.94982,2.0387,2.46423,0.07102,0.41444,0.41987,0.35327,0.15619,1.90846,2.03693,2.39902,0.03597,0.0018416,0.0018416,0.0018416
14,185.9,1.87884,1.94696,2.42132,0.06771,0.51245,0.41833,0.4201,0.1967,1.83683,1.92912,2.35087,0.03471,0.0018284,0.0018284,0.0018284
15,198.286,1.85125,1.92566,2.41149,0.06201,0.52872,0.43472,0.4407,0.21566,1.75525,1.93592,2.31848,0.02838,0.0018152,0.0018152,0.0018152
16,210.968,1.78137,1.85867,2.35509,0.06012,0.52029,0.45315,0.45585,0.23058,1.71205,1.84096,2.27053,0.02894,0.001802,0.001802,0.001802
17,223.459,1.7482,1.77539,2.33086,0.06085,0.50554,0.46902,0.43479,0.22019,1.70502,1.82213,2.24125,0.02879,0.0017888,0.0017888,0.0017888
18,235.772,1.69035,1.75797,2.29411,0.0599,0.57613,0.48694,0.52974,0.29211,1.60021,1.71259,2.193,0.02572,0.0017756,0.0017756,0.0017756
19,248.397,1.69973,1.69212,2.27913,0.05327,0.58967,0.48592,0.52315,0.29439,1.63139,1.71377,2.19241,0.02803,0.0017624,0.0017624,0.0017624
20,260.725,1.65392,1.70211,2.25048,0.05889,0.60352,0.49206,0.535,0.28859,1.58317,1.8236,2.15845,0.02427,0.0017492,0.0017492,0.0017492
21,274.292,1.60764,1.63233,2.19785,0.05954,0.57847,0.5233,0.54905,0.31642,1.55522,1.7411,2.10027,0.0277,0.001736,0.001736,0.001736
22,287.327,1.59683,1.60376,2.18601,0.05601,0.66553,0.54275,0.59514,0.35554,1.47367,1.58555,2.04414,0.02391,0.0017228,0.0017228,0.0017228
23,299.939,1.54448,1.58007,2.15228,0.05372,0.70001,0.5305,0.61514,0.37334,1.47739,1.48604,2.02809,0.02482,0.0017096,0.0017096,0.0017096
24,312.569,1.54286,1.53039,2.11135,0.05206,0.68766,0.55095,0.61288,0.37202,1.44173,1.49193,1.95485,0.02616,0.0016964,0.0016964,0.0016964
25,325.066,1.50168,1.5158,2.07295,0.05224,0.71275,0.54788,0.63163,0.3889,1.4355,1.41423,2.00714,0.02208,0.0016832,0.0016832,0.0016832
26,338.226,1.48261,1.47769,2.0575,0.05135,0.75586,0.54531,0.64472,0.40224,1.41653,1.40907,1.95975,0.02339,0.00167,0.00167,0.00167
27,350.804,1.46929,1.45668,2.04255,0.04964,0.67738,0.54615,0.60749,0.36486,1.44018,1.44975,1.94987,0.02444,0.0016568,0.0016568,0.0016568
28,364.275,1.47089,1.43567,2.00298,0.05154,0.69148,0.55888,0.63932,0.40675,1.36696,1.37679,1.89905,0.02424,0.0016436,0.0016436,0.0016436
29,377.588,1.43836,1.38515,1.97074,0.0528,0.75312,0.57011,0.6657,0.41128,1.37695,1.33747,1.90989,0.02164,0.0016304,0.0016304,0.0016304
30,391.761,1.40379,1.34436,1.95804,0.04534,0.73051,0.59293,0.67848,0.43498,1.35027,1.30719,1.86858,0.02389,0.0016172,0.0016172,0.0016172
31,406.378,1.42752,1.36611,1.95298,0.0493,0.75102,0.55402,0.6607,0.42995,1.31767,1.32901,1.80224,0.02284,0.001604,0.001604,0.001604
32,421.254,1.37206,1.32146,1.92855,0.04713,0.7707,0.58372,0.68453,0.45069,1.26663,1.2557,1.79369,0.02106,0.0015908,0.0015908,0.0015908
33,435.175,1.3687,1.30512,1.88721,0.04791,0.73302,0.59037,0.6864,0.44223,1.31163,1.27258,1.80342,0.02266,0.0015776,0.0015776,0.0015776
34,447.629,1.375,1.3047,1.90595,0.04263,0.74691,0.5704,0.66265,0.42854,1.3084,1.29424,1.82405,0.0204,0.0015644,0.0015644,0.0015644
35,460.394,1.34205,1.31521,1.86053,0.04487,0.77959,0.59652,0.69815,0.46212,1.25643,1.21174,1.77398,0.022,0.0015512,0.0015512,0.0015512
