epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7877,1.45595,2.19721,2.90532,0.02322,0.77057,0.66208,0.75966,0.43409,1.50367,1.25205,2.53563,0.01934,0.000664481,0.000664481,0.000664481
2,85.1033,1.47423,1.39758,2.34985,0.02596,0.58496,0.5961,0.58002,0.28693,1.58295,1.48005,2.14854,0.02325,0.0013311,0.0013311,0.0013311
3,126.192,1.48831,1.33297,2.09962,0.02798,0.76975,0.67787,0.7634,0.46564,1.3971,1.24745,1.92709,0.01874,0.00199753,0.00199753,0.00199753
4,169.831,1.46291,1.38555,1.90862,0.0314,0.77365,0.69129,0.77012,0.47168,1.38867,1.18791,1.7688,0.02073,0.00199935,0.00199935,0.00199935
5,213.568,1.40972,1.30178,1.7999,0.03272,0.77729,0.67179,0.77168,0.48832,1.33008,1.1806,1.69217,0.0171,0.00199884,0.00199884,0.00199884
6,253.85,1.38773,1.2518,1.79644,0.03184,0.80039,0.6851,0.79841,0.50042,1.30929,1.22035,1.66622,0.01549,0.00199819,0.00199819,0.00199819
7,293.773,1.32792,1.2316,1.69643,0.02845,0.78511,0.71889,0.79244,0.49358,1.31495,1.1106,1.6205,0.01559,0.0019974,0.0019974,0.0019974
8,333.982,1.23423,1.07056,1.6348,0.02359,0.79051,0.6917,0.785,0.50713,1.27939,1.14041,1.65198,0.01824,0.00199646,0.00199646,0.00199646
9,373.788,1.2515,1.10633,1.6202,0.02562,0.79856,0.73685,0.81536,0.54346,1.23218,1.02516,1.56862,0.01932,0.00199538,0.00199538,0.00199538
10,413.671,1.26825,1.0989,1.59494,0.03116,0.81771,0.72248,0.80604,0.52378,1.21609,1.07794,1.51894,0.01919,0.00199415,0.00199415,0.00199415
11,453.62,1.24478,1.04974,1.5998,0.02529,0.81765,0.7255,0.8144,0.52115,1.24667,1.03933,1.59914,0.01529,0.00199278,0.00199278,0.00199278
12,493.435,1.19157,1.00836,1.54066,0.02407,0.81316,0.73541,0.81863,0.5409,1.16265,1.00285,1.52674,0.01301,0.00199127,0.00199127,0.00199127
13,533.42,1.17095,1.00634,1.52927,0.02748,0.83376,0.75501,0.82583,0.56162,1.12836,1.00632,1.47699,0.01553,0.00198961,0.00198961,0.00198961
14,574.24,1.1579,0.97195,1.49634,0.02479,0.81667,0.75576,0.83011,0.56316,1.12169,1.00362,1.44816,0.01425,0.00198781,0.00198781,0.00198781
15,614.673,1.17532,1.01045,1.48671,0.02584,0.83432,0.7529,0.84564,0.59166,1.11871,0.93208,1.4263,0.01393,0.00198587,0.00198587,0.00198587
16,654.729,1.13694,0.89611,1.46861,0.02556,0.84672,0.72401,0.83185,0.56635,1.15586,0.98739,1.46473,0.01353,0.00198378,0.00198378,0.00198378
17,695.008,1.11631,0.92318,1.46376,0.02334,0.86431,0.75666,0.85562,0.59864,1.09098,0.8938,1.42392,0.01189,0.00198156,0.00198156,0.00198156
18,735.016,1.10321,0.88311,1.44067,0.02143,0.84357,0.74962,0.84784,0.59375,1.07359,0.92743,1.40203,0.01198,0.00197919,0.00197919,0.00197919
19,775.168,1.09126,0.8813,1.44605,0.01985,0.84428,0.7884,0.86912,0.59991,1.09381,0.89346,1.43267,0.01166,0.00197668,0.00197668,0.00197668
20,815.307,1.11092,0.86732,1.44581,0.02384,0.87794,0.7532,0.85569,0.59454,1.07269,0.88182,1.41455,0.0125,0.00197402,0.00197402,0.00197402
21,855.072,1.09284,0.86576,1.43116,0.0237,0.85892,0.77675,0.85921,0.58601,1.11843,0.90288,1.39604,0.01287,0.00197123,0.00197123,0.00197123
22,894.973,1.09122,0.83082,1.39419,0.0211,0.86705,0.78807,0.87731,0.62012,1.04438,0.86654,1.34031,0.01131,0.0019683,0.0019683,0.0019683
23,934.956,1.04461,0.80849,1.41475,0.01958,0.84706,0.76002,0.84992,0.60113,1.06772,0.8885,1.39978,0.01189,0.00196523,0.00196523,0.00196523
24,974.839,1.08042,0.87945,1.43612,0.02143,0.85023,0.72555,0.84499,0.6017,1.09324,0.96282,1.38438,0.01086,0.00196201,0.00196201,0.00196201
25,1014.83,1.0477,0.83214,1.35664,0.01837,0.88061,0.74245,0.85314,0.60762,1.09479,0.94992,1.39059,0.01362,0.00195866,0.00195866,0.00195866
26,1054.94,1.05005,0.83639,1.39073,0.02099,0.87172,0.77243,0.86673,0.62457,1.02054,0.83952,1.34451,0.01022,0.00195517,0.00195517,0.00195517
27,1095.27,1.04063,0.85959,1.38234,0.02033,0.86236,0.76033,0.85274,0.60087,1.0472,0.89383,1.34893,0.01134,0.00195155,0.00195155,0.00195155
28,1135.43,1.0145,0.82872,1.35099,0.01774,0.88741,0.75465,0.85823,0.60696,1.05051,0.85861,1.35497,0.01204,0.00194778,0.00194778,0.00194778
29,1175.61,1.00827,0.82599,1.33512,0.01774,0.88878,0.76037,0.86174,0.61202,1.02152,0.87037,1.34374,0.01072,0.00194388,0.00194388,0.00194388
30,1215.7,1.01229,0.77992,1.34823,0.01834,0.9034,0.75576,0.87882,0.63812,1.02954,0.82807,1.33048,0.00983,0.00193984,0.00193984,0.00193984
31,1255.81,0.99896,0.77283,1.3458,0.02064,0.8921,0.74084,0.85201,0.60905,1.05245,0.86811,1.35727,0.01284,0.00193567,0.00193567,0.00193567
32,1295.92,1.00721,0.80777,1.32163,0.01859,0.84461,0.78204,0.85898,0.62005,1.03298,0.84866,1.33671,0.01097,0.00193136,0.00193136,0.00193136
33,1336.2,1.01863,0.80864,1.35188,0.01797,0.87614,0.77983,0.85819,0.61606,1.02301,0.85697,1.36254,0.01131,0.00192691,0.00192691,0.00192691
34,1376.3,0.994,0.74705,1.31826,0.01869,0.90935,0.78077,0.88463,0.64756,1.00315,0.77721,1.31574,0.00982,0.00192234,0.00192234,0.00192234
35,1416.48,0.96757,0.74742,1.29015,0.01668,0.87223,0.81095,0.88734,0.64686,1.00984,0.76825,1.34451,0.01009,0.00191762,0.00191762,0.00191762
36,1456.57,0.93848,0.68889,1.28448,0.01637,0.89294,0.77778,0.87549,0.62859,1.03996,0.81943,1.36885,0.01138,0.00191278,0.00191278,0.00191278
37,1496.87,0.96257,0.73731,1.30981,0.01563,0.87749,0.78851,0.87864,0.63236,1.02011,0.78851,1.34128,0.01004,0.00190781,0.00190781,0.00190781
38,1536.89,0.9461,0.72146,1.2741,0.01486,0.89623,0.7783,0.87538,0.63916,0.98701,0.79474,1.29791,0.01062,0.0019027,0.0019027,0.0019027
39,1577.66,0.92985,0.70883,1.2659,0.0172,0.89516,0.7957,0.88983,0.64811,0.99398,0.75836,1.30161,0.01006,0.00189746,0.00189746,0.00189746
40,1619.2,0.9185,0.67612,1.24928,0.01407,0.90124,0.78187,0.88788,0.64539,0.98703,0.77833,1.29702,0.00948,0.0018921,0.0018921,0.0018921
41,1660.11,0.91139,0.66193,1.24198,0.01407,0.88639,0.81772,0.90176,0.67075,0.95619,0.73929,1.2635,0.01002,0.0018866,0.0018866,0.0018866
42,1700.52,0.89049,0.64754,1.2303,0.01428,0.90101,0.79621,0.88476,0.65359,0.95768,0.75607,1.28704,0.00988,0.00188098,0.00188098,0.00188098
43,1740.68,0.90726,0.64774,1.25501,0.01258,0.89055,0.78802,0.88054,0.63528,1.01357,0.78745,1.3239,0.01033,0.00187523,0.00187523,0.00187523
44,1780.67,0.91568,0.68488,1.26886,0.01603,0.85253,0.80133,0.87733,0.64273,0.96363,0.77922,1.26717,0.00921,0.00186935,0.00186935,0.00186935
45,1820.85,0.87601,0.65819,1.214,0.01459,0.89055,0.78597,0.88095,0.65056,0.96837,0.78841,1.29779,0.00922,0.00186335,0.00186335,0.00186335
46,1860.84,0.90407,0.64921,1.24039,0.01574,0.91884,0.7788,0.88697,0.65445,0.9679,0.73727,1.28698,0.00892,0.00185722,0.00185722,0.00185722
47,1901.03,0.89513,0.63303,1.25228,0.0154,0.89796,0.81823,0.89291,0.65567,0.95958,0.72781,1.27762,0.0089,0.00185097,0.00185097,0.00185097
