epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,576.924,1.39232,1.3666,1.91898,0.04693,0.75417,0.56707,0.67266,0.4303,1.33342,1.2733,1.83737,0.02209,0.00194876,0.00194876,0.00194876
38,593.086,1.34038,1.33414,1.88011,0.04447,0.71491,0.57757,0.65333,0.43061,1.29958,1.325,1.7858,0.0216,0.0019459,0.0019459,0.0019459
39,609.37,1.33286,1.33616,1.88011,0.04512,0.80353,0.58679,0.70211,0.4717,1.23801,1.20905,1.71114,0.02239,0.00194297,0.00194297,0.00194297
40,625.12,1.33921,1.2981,1.84917,0.0466,0.75348,0.54839,0.65581,0.43544,1.26873,1.3293,1.72806,0.02155,0.00193996,0.00193996,0.00193996
41,640.483,1.37657,1.34363,1.84803,0.04776,0.72231,0.59447,0.667,0.42372,1.31544,1.35663,1.746,0.02381,0.00193687,0.00193687,0.00193687
42,656.096,1.30365,1.27158,1.78733,0.0382,0.76407,0.59447,0.69333,0.45992,1.21489,1.25479,1.67446,0.01965,0.00193371,0.00193371,0.00193371
43,671.582,1.30278,1.23428,1.76401,0.04342,0.79471,0.60932,0.72243,0.48986,1.21451,1.20018,1.65851,0.01977,0.00193048,0.00193048,0.00193048
44,686.491,1.29385,1.2341,1.78732,0.04042,0.78209,0.60625,0.72004,0.47879,1.2234,1.17081,1.68664,0.02038,0.00192717,0.00192717,0.00192717
45,701.862,1.26461,1.22177,1.75453,0.03851,0.76987,0.64064,0.73679,0.5041,1.19223,1.0961,1.64615,0.01842,0.00192379,0.00192379,0.00192379
46,716.996,1.26883,1.20567,1.75835,0.04134,0.75531,0.62366,0.71224,0.47859,1.22436,1.15163,1.68901,0.01819,0.00192033,0.00192033,0.00192033
47,732.305,1.26609,1.20589,1.74125,0.0409,0.77273,0.6385,0.72755,0.48991,1.18846,1.16077,1.63175,0.01876,0.0019168,0.0019168,0.0019168
48,747.985,1.294,1.20272,1.77513,0.04605,0.77003,0.60215,0.70953,0.4777,1.23258,1.2004,1.67551,0.01923,0.0019132,0.0019132,0.0019132
49,763.219,1.27023,1.17498,1.74291,0.04036,0.7803,0.63467,0.73607,0.48181,1.23395,1.12391,1.66005,0.02078,0.00190953,0.00190953,0.00190953
50,778.975,1.25231,1.18461,1.71662,0.03856,0.76601,0.60829,0.69565,0.4814,1.17339,1.22114,1.60675,0.01779,0.00190578,0.00190578,0.00190578
51,794.116,1.2339,1.1923,1.71798,0.03805,0.76436,0.61546,0.71731,0.48984,1.19587,1.20998,1.63217,0.01832,0.00190196,0.00190196,0.00190196
52,809.398,1.27219,1.20306,1.74922,0.04224,0.78898,0.63441,0.73996,0.49391,1.22431,1.12434,1.64897,0.01911,0.00189807,0.00189807,0.00189807
53,824.728,1.24257,1.1629,1.7072,0.03905,0.83723,0.61239,0.74337,0.50357,1.20012,1.08102,1.68285,0.0188,0.0018941,0.0018941,0.0018941
54,839.931,1.22316,1.14629,1.70214,0.0395,0.7564,0.66308,0.74044,0.50857,1.16023,1.09415,1.6036,0.01785,0.00189007,0.00189007,0.00189007
55,855.313,1.22255,1.14915,1.67366,0.03771,0.75473,0.65386,0.73818,0.50878,1.15117,1.09349,1.61226,0.01944,0.00188597,0.00188597,0.00188597
56,870.087,1.20694,1.11286,1.69711,0.03291,0.76794,0.65489,0.74275,0.51287,1.15942,1.07916,1.60676,0.01945,0.00188179,0.00188179,0.00188179
57,885.293,1.21386,1.13382,1.67439,0.03775,0.79885,0.65074,0.75168,0.52015,1.1467,1.07699,1.61274,0.01654,0.00187754,0.00187754,0.00187754
58,901.024,1.19911,1.10337,1.66317,0.03845,0.80681,0.63134,0.75409,0.52407,1.13923,1.05039,1.54593,0.01733,0.00187323,0.00187323,0.00187323
59,916.246,1.2196,1.12445,1.64005,0.03961,0.8055,0.6467,0.76229,0.53824,1.12266,1.03807,1.5288,0.01849,0.00186884,0.00186884,0.00186884
60,931.222,1.20198,1.09912,1.65423,0.0364,0.80413,0.6467,0.74738,0.51462,1.14984,1.06965,1.56815,0.0187,0.00186439,0.00186439,0.00186439
61,946.443,1.18837,1.08867,1.65881,0.03498,0.80604,0.63412,0.75315,0.51778,1.1582,1.05084,1.59381,0.01785,0.00185986,0.00185986,0.00185986
62,962.129,1.16271,1.08009,1.64006,0.03668,0.79533,0.65062,0.76006,0.52447,1.13072,1.04054,1.55673,0.01584,0.00185527,0.00185527,0.00185527
63,978.216,1.19717,1.11439,1.65337,0.04174,0.81802,0.65284,0.76776,0.5326,1.1288,1.00374,1.55427,0.01682,0.00185061,0.00185061,0.00185061
64,993.461,1.14211,1.05084,1.60668,0.03124,0.78968,0.64926,0.7537,0.52328,1.13137,1.0342,1.54028,0.01739,0.00184588,0.00184588,0.00184588
65,1008.74,1.15197,1.06518,1.62639,0.03305,0.82658,0.64429,0.76362,0.53209,1.13608,1.02989,1.5215,0.01744,0.00184109,0.00184109,0.00184109
66,1023.79,1.18773,1.07665,1.64583,0.03766,0.79499,0.6467,0.7418,0.52246,1.12602,1.04708,1.5411,0.0175,0.00183623,0.00183623,0.00183623
67,1039.39,1.17469,1.09517,1.64147,0.0346,0.77258,0.67332,0.75344,0.52898,1.10076,1.02916,1.51329,0.01643,0.0018313,0.0018313,0.0018313
